Awards List,,,,
Search Criteria: Fiscal Year From: 2022-2023 | Fiscal Year To: 2022-2023 | Institution & Province: University of British Columbia | By Institutions: All,,,,
"Total No Of Results: 1,583",,,,
Name,Project Title,Amount($),Fiscal Year,Program
"Waldal, NileWJ",Trapping bubbles in gels,"6,000",2022-2023,University Undergraduate Student Research Awards
"Walji, Nahid",Distribution of Hecke eigenvalues for automorphic representations,"18,000",2022-2023,Discovery Grants Program - Individual
"Walus, Konrad",Computer Aided Design of Atomic Electronics with Coupled Atomic Silicon Quantum Dots,"39,000",2022-2023,Discovery Grants Program - Individual
"Wang, JingYuJY",Development of a novel artificial antigen presenting cell to study human CD8 T cell biology,"6,000",2022-2023,University Undergraduate Student Research Awards
"Wang, Lele",New Frontiers in Coding Theory: Reed-Muller and Polar Codes,"38,000",2022-2023,Discovery Grants Program - Individual
"Wang, Liwei","High-power voltage-source converter topologies, modeling, and analysis framework for future AC-DC supergrids","48,000",2022-2023,Discovery Grants Program - Individual
"Wang, LiweiLW",Distributed maximum power point tracking and internal fault detection technologies for solar PV-powered roadways,"25,600",2022-2023,Alliance Grants
"Wang, Rizhi",Processing of calcium phosphate - functional peptide composites for orthopaedic applications,"66,000",2022-2023,Discovery Grants Program - Individual
"Wang, Tongli",Development of climate niche models reflecting among -population variation for major forest tree species in British Columbia,"28,000",2022-2023,Discovery Grants Program - Individual
"Wang, XindiX",Ex vivo simulation of the vascular endothelium during exercise and agonist activation,"6,000",2022-2023,University Undergraduate Student Research Awards
"Wang, Zehua",Next Generation Secure and Collaborative Internet of Things (IoT) System - Leveraging Blockchain for Decentralized Control and Privacy Preserving Machine Learning,"28,000",2022-2023,Discovery Grants Program - Individual
"Wang, ZJane",Deep Learning and Interpretability in Digital Image Forensics,"55,000",2022-2023,Discovery Grants Program - Individual
"Warburton, Darren",Cardiovascular Physiology in the Extremes: Mechanisms of Adaptation,"40,000",2022-2023,Discovery Grants Program - Individual
"Warburton, Darren",Cardiovascular Physiology in the Extremes: Mechanisms of Adaptation,"10,000",2022-2023,Discovery Grants Program - Northern Research Supplement
"Ward, Lawrence",Transcranial electrical stimulation and the neural dynamics of consciousness,"33,000",2022-2023,Discovery Grants Program - Individual
"Ward, Rabab",Deep Clustering for Image Data: Methods and Applications,"64,000",2022-2023,Discovery Grants Program - Individual
"Warsaba, ReidREW",Investigating the Role of a Redundant Viral Protein,"21,000",2022-2023,Postgraduate Scholarships - Doctoral
"Wasteneys, Geoffrey",Plant Cell Biology,"200,000",2022-2023,Canada Research Chairs
"Wasteneys, Geoffrey",The Shape of Plants: exploring developmental transitions,"78,000",2022-2023,Discovery Grants Program - Individual
"Waterman, Stephanie","Ocean mixing rates, distributions, mechanisms, impacts and representations from theoretical and observational perspectives","70,651",2022-2023,Discovery Grants Program - Individual
"Waterman, Stephanie","Ocean mixing rates, distributions, mechanisms, impacts and representations from theoretical and observational perspectives","40,000",2022-2023,Discovery Grants Program - Accelerator Supplements
"Waterman, Stephanie",Physical Oceanography,"120,000",2022-2023,Canada Research Chairs
"Watson, Liam",Geometric structure and Floer theory of three-dimensional manifolds,"70,000",2022-2023,Discovery Grants Program - Individual
"Watt, SethTreaceOliverSTO",Origins of Sexual Dimorphism: a Population Genetics Perspective,"21,000",2022-2023,Postgraduate Scholarships - Doctoral
"Wei, Juncheng",Nonlinear Partial Differential Equations,"200,000",2022-2023,Canada Research Chairs
"Wei, Juncheng",Singularity Formations in Nonlinear Elliptic and Parabolic Equations,"82,000",2022-2023,Discovery Grants Program - Individual
"Wei, Xiaohua",Determining forest disturbance thresholds for managing cumulative hydrological impacts,"36,000",2022-2023,Discovery Grants Program - Individual
"Wei, YanYW",Renewable materials for filtration media,"6,000",2022-2023,University Undergraduate Student Research Awards
"Weidberg, Hilla",Maintaining mitochondrial homeostasis during stress,"47,000",2022-2023,Discovery Grants Program - Individual
"Weil, RyoheiRK",Experimental Implementation and Classification of Measurement-Based Quantum Computational Resource States,"17,500",2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Master's
"Weis, Dominique",Canadian Research Chair in the Geochemistry of the Earth's Mantle,"200,000",2022-2023,Canada Research Chairs
"Weis, Dominique",From mantle geodynamics to environmental processes: a geochemical perspective,"75,000",2022-2023,Discovery Grants Program - Individual
"Welch, William",Adaptive Design for Fast Machine/Statistical Learning,"25,000",2022-2023,Discovery Grants Program - Individual
"Werker, Janet",Comparing two phonemic category learning mechanisms in infancy and the factors that modulate their efficacy,"78,000",2022-2023,Discovery Grants Program - Individual
"Wert, KadieKW",Functional carbon nitride for photocatalytic water purification,"6,000",2022-2023,University Undergraduate Student Research Awards
"Wertman, DebraL","Insights into the evolution of bark beetle-fungus mutualisms, and their ecological impacts: The alder bark beetle and its association with a Neonectria canker pathogen","35,000",2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
"West, Christopher",The cardiac-sympathetic contribution to blood pressure regulation,"38,000",2022-2023,Discovery Grants Program - Individual
"West, ChristopherCR",Development of a triple haemodynamic monitoring system for mammalian physiology studies,"153,043",2022-2023,Alliance Grants
"Wetton, Brian",Phase Field Computational Methods for Materials Science Problems,"36,000",2022-2023,Discovery Grants Program - Individual
"White, Rachel",Atmospheric Waves and Regional Weather Extremes,"35,000",2022-2023,Discovery Grants Program - Individual
"White, Rachel",Atmospheric Waves and Regional Weather Extremes,"40,000",2022-2023,Discovery Grants Program - Accelerator Supplements
"Whitton, Jeannette","The origins, spread, and persistence of asexual reproduction in plants","28,000",2022-2023,Discovery Grants Program - Individual
"Wilcockson, AdamAC",Investigation of seawater samples for microbial pathogens associated with oyster mortality,"6,000",2022-2023,University Undergraduate Student Research Awards
"Wilkinson, David",Electrolysis for Electrochemical Fuels and Electrochemical Water Treatment,"55,000",2022-2023,Discovery Grants Program - Individual
"Wilkinson, David",Clean Energy and Fuel Cells,"200,000",2022-2023,Canada Research Chairs
"Williams, Jennifer",Eco-evolutionary dynamics of population spread and plant demography in a changing world,"40,000",2022-2023,Discovery Grants Program - Accelerator Supplements
"Williams, Jennifer",Eco-evolutionary dynamics of population spread and plant demography in a changing world,"55,000",2022-2023,Discovery Grants Program - Individual
"Williams, Karla","Extracellular Vesicles: Biogenesis, composition, and biological function.","30,000",2022-2023,Discovery Grants Program - Individual
"Williams, Thomas",Classical and A1-homotopy theory of linear algebraic groups,"21,000",2022-2023,Discovery Grants Program - Individual
"Wilson, David",Measurement of joint mechanics with novel imaging methods,"46,000",2022-2023,Discovery Grants Program - Individual
"Wilson, Scott",Spatial and temporal variation in the response of migratory species to anthropogenic land use,"24,900",2022-2023,Discovery Grants Program - Individual
"Wilton, StevenSJE",International Catalyst on Computer-Aided Design Algorithms for Quantum Annealing,"25,000",2022-2023,Alliance Grants
"Wisnovsky, Simon",Development of Genetic Screening Methods for Functional Characterization of Cell-Surface Glycans,"12,500",2022-2023,Discovery Launch Supplement
"Wisnovsky, Simon",Development of Genetic Screening Methods for Functional Characterization of Cell-Surface Glycans,"31,000",2022-2023,Discovery Grants Program - Individual
"Withers, Stephen",Interactions and Reactions of Carbohydrates and Proteins,"242,000",2022-2023,Discovery Grants Program - Individual
"Wolf, MeganME",Overcoming challenges in lignin valorization with microbial cytochromes P450,"35,000",2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
"Wolf, Michael","Development of Photoactive Materials: Synthesis, Photochemistry and Photophysics","64,000",2022-2023,Discovery Grants Program - Individual
"Wolf, MichaelMO",Market assessment of new antimicrobial and antiviral textile coatings,"15,000",2022-2023,Idea to Innovation
"Wolkovich, Elizabeth",Temporal Ecology,"120,000",2022-2023,Canada Research Chairs
"Wolkovich, Elizabeth",Predicting future forests: Understanding diverse phenological responses in North American temperate forests and globally,"94,000",2022-2023,Discovery Grants Program - Individual
"Wolthers, Kirsten",Enzymology of cofactor and amino acid metabolism in anaerobic bacteria,"32,000",2022-2023,Discovery Grants Program - Individual
"Wong, AleahA",How does ocean warming impact reproduction in sex-skewed populations of Panulirus interruptus?,"17,500",2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Master's
"Wong, Judy",Structure-Function Relationship Study of Telomerase Reverse Transcriptase's Non-Canonical Activities,"32,000",2022-2023,Discovery Grants Program - Individual
"Wong, TimothyTZH",Testing for phylogenetic signal in leaf thermal tolerance,"6,000",2022-2023,University Undergraduate Student Research Awards
"Wong, Vincent","AI-based Joint Sensing, Communications, and Control for 6G Wireless Networks","55,000",2022-2023,Discovery Grants Program - Individual
"Wong, Vincent","AI-based Joint Sensing, Communications, and Control for 6G Wireless Networks","40,000",2022-2023,DND/NSERC Discovery Grant Supplement
"Wong, WarrenWW",The Ecological Impacts of Host Plant Phenology on the Tritrophic System of an Invasive Species.,"21,000",2022-2023,Postgraduate Scholarships - Doctoral
"Woo, SangwookMichaelSM",Wastewater Testing to Understand the Abundance and Fate of Antibiotic Resistant Genes,"6,000",2022-2023,University Undergraduate Student Research Awards
"Wood, ChristopherCM",The Impact of Road Salt on Pacific Salmon Success,"112,399",2022-2023,Alliance Grants
"Wood, Frank",Advanced Probabilistic Programming,"110,000",2022-2023,Discovery Grants Program - Individual
"Wright, David",Temperature Sensing and the Regulation of Fuel Metabolism,"39,000",2022-2023,Discovery Grants Program - Individual
"Wu, Lang",Some new models and methods for complex longitudinal and survival data,"27,000",2022-2023,Discovery Grants Program - Individual
"Wu, Lyndia(Chun)",Biomechanical dose and real-time neurophysiological response during direct and whiplash head loading in humans,"37,000",2022-2023,Discovery Grants Program - Individual
"Wu, RuolinRW",Cognitive Effort in Addiction: Psychophysiology to Everyday Life,"17,500",2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Master's
"Wu, YiTingYW",Capacitive sensors as a machine skin: Creating arrays,"6,000",2022-2023,University Undergraduate Student Research Awards
"Wyse, SarahSK",The effect of leaders and citizens on a coupled social-climate model,"17,500",2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Master's
"Xiao, Robert",Interacting with Augmented Reality,"39,000",2022-2023,Discovery Grants Program - Individual
"Xu, GeorgeGHY",Artificial Intelligence-Directed Microwave Ablation System for Treating Lung Nodules,"6,000",2022-2023,University Undergraduate Student Research Awards
"Xu, MingHongMH",Dissecting tissue specific starvation responses in C. elegans,"6,000",2022-2023,University Undergraduate Student Research Awards
"Xue, JanJY",Characterization of Cellulose Synthases from the Red Algae Calliarthron tuberculosum and Pyropia yezoensis,"21,000",2022-2023,Postgraduate Scholarships - Doctoral
"Yada, Rickey",Structure-Function Relationships of Food-Related Enzymes: Aspartic Proteases,"110,000",2022-2023,Discovery Grants Program - Individual
"Yadav, RobinR",Active Computer Vision Augmented Reality Platform,"6,000",2022-2023,University Undergraduate Student Research Awards
"Yadav, Vikramaditya",Biovalorization of lignin,"30,000",2022-2023,Discovery Grants Program - Individual
"Yan, Julia",The value of flexibility in microtransit operations,"27,000",2022-2023,Discovery Grants Program - Individual
"Yan, Julia",The value of flexibility in microtransit operations,"12,500",2022-2023,Discovery Launch Supplement
"Yang, BeverlyBY",Examining the feasibility of integrating machine learning techniques in rock engineering design,"21,000",2022-2023,Postgraduate Scholarships - Doctoral
