"Project Number","Project title","Fund Type",Fund,"Team Leader(s)","Team Member(s)",Province,Municipality,"Institution type","Lead Institution","Collaborating Institutions","Field of research",Keywords,"Funding decision year","Decision date","CFI Contribution"
42650,"Simulation-based modeling of the industrial, large-scale fiber reinforced polymer composite 3D printing","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Sergey Kravchenko","Sergey Kravchenko","British Columbia",Vancouver,University,"The University of British Columbia",,"Composite and hybrid materials","fiber reinforced polymer composites, process modeling, multi-scale modeling, multi-physics modeling composite 3D printing, fused filament fabrication, thermal imaging",2022,22-Mar-22,$122353
43670,"Smart Analytics Lab for Modelling Advanced and Livable Infrastructure Systems","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Suliman Gargoum","Suliman Gargoum","British Columbia",Vancouver,University,"The University of British Columbia",,"Traffic and highway engineering","Highway Design, Road Safety, Reliability, Remote Sensing. Mobile LiDAR Scanning, Laser Scanning, Processor, GPU, Spherical Camera.",2022,22-Nov-22,$111995
42623,"Spatial characterization of human atherosclerotic disease for therapeutic and biomarker development","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Ying Wang","Ying Wang","British Columbia",Vancouver,University,"The University of British Columbia",,"Cardiology and circulatory sciences (including cardiovascular disease)","Cardiovascular events, atherosclerosis, lesion stability, spatial phenotyping, anti-inflammatory therapies CO-Detection by indEXing (CODEX) HALO image analysis softwareQubit Flourometer",2022,22-Mar-22,$125000
43348,"The Facility for the Study of Insect Adaptability and Physiology (FSIAP)","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Philip Matthews","Katie Marshall, Benjamin Matthews, Philip Matthews","British Columbia",Vancouver,University,"The University of British Columbia",,"Biological adaptation","Insect adaptability, insect physiology, climate change adaptation, genetics of adaptabilty, insect range modelling Insectary, climate-control chambers, purge-gas generator",2022,14-Jun-22,$781055
43641,"The Personality and Geographical Ambiance (PANGEA) Lab: A locally-rooted globally-connected big-data research hub","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Friedrich Götz","Friedrich Götz","British Columbia",Vancouver,University,"The University of British Columbia",,"Social cognition","geographical psychology; big data; causes and consequences of spatial psychological differences; regional psychology; personality desktop and laptop computers; audio-visual systems",2022,22-Nov-22,$36317
43338,"The RESPECT (RESearch in Physical activity & Exercise with, by, and for hard-to-reach CommuniTies) Collaboratory","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Guy Faulkner","Mark Beauchamp, Guy Faulkner, Eli Puterman","British Columbia",Vancouver,University,"The University of British Columbia",,"Psychosocial, sociocultural and behavioural determinants of health","at-risk/marginalized populations; physical activity; precision health; intervention; integrated knowledge translation; psychology; ambulatory assessment wearable devices; fitness and strength testing; exercise equipment",2022,14-Jun-22,$639239
43158,"The use of human stem cells to understand mechanisms and develop treatments for neurological disorders","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Mahmoud Pouladi","Mahmoud Pouladi","British Columbia",Vancouver,University,"The University of British Columbia",,Neurogenetics,"human pluripotent stem cells, genome engineering, neurological disorders, therapeutic development, precision Health live cell imager, microscope, centrifuges, thermal cyclers, freezer, incubators",2022,22-Nov-22,$200000
43764,"Transforming Heart Failure: Integrated Network Redesigned for Improved Outcomes (TOHFINO): An AI- Empowered Paradigm","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Teresa Tsang","Purang Abolmaesumi, Kimberlyn McGrail, Teresa Tsang","British Columbia",Vancouver,University,"The University of British Columbia",,"Medical and biomedical engineering, n.e.c.","Artificial intelligence, ultrasound imaging, point-of-care ultrasound, population health AI algorithms for quantifiable heart failure biomarkers",2022,22-Nov-22,$400000
43634,"UBC Food & Beverage Innovation Center","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","David Kitts","David Kitts, Anubhav Pratap Singh, Siyun Wang","British Columbia",Vancouver,University,"The University of British Columbia",,"Food sciences (including food engineering)","Non-thermal food processing, Food sustainability, Food safety, Food security, Food pasteurization High pressure Processing,Microwave vacuum dehydration, Individual quick freezing",2022,22-Nov-22,$700000
42448,"Ultrafast Laser System for Terahertz Development in Food Applications","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Christopher Collier","Christopher Collier","British Columbia",Vancouver,University,"The University of British Columbia",,"Terahertz studies","Ultrafast optics, Terahertz spectroscopy, Time-domain spectroscopy Short pulse laser",2022,22-Mar-22,$125000
42423,"Visualizing immune cell activities using live-cell imaging and confocal microscopy","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure associated with an application for research support funding from another program: CRC","Jessica Rosin","Jessica Rosin","British Columbia",Vancouver,University,"The University of British Columbia",,"Cell biology, n.e.c.","Craniofacial Development, Neuroinflammation, Microglia, Macrophages, Osteoclasts, Maternal Challenge, Craniofacial Birth Defects, Neurodevelopmental Disorders Confocal Microscopy, Super-Resolution Imaging, Live-Cell Imaging",2022,14-Jun-22,$140000
42460,"Wearable Systems to Characterize Sensorimotor Response to Impulsive Loads","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Calvin Kuo","Calvin Kuo","British Columbia",Vancouver,University,"The University of British Columbia",,"Biomechanical engineering","Wearable sensors, inertial measurement units, impact biomechanics, sensorimotor control of locomotion, force sensing Wearable human movement measurement systems, Sensorimotor measurement systems",2022,22-Mar-22,$125000
43489,"A New Correlator for CHIME","Innovation Fund","Innovation Fund 2023","Mark Halpern","Matt Dobbs, Mark Halpern, Alex Hill, Gary Hinshaw, Victoria Kaspi, Thomas Landecker, Kiyoshi Masui, Laura Newburgh, Ingrid Stairs, Keith Vanderlinde","British Columbia",Vancouver,University,"The University of British Columbia",,"Dark energy","Cosmology, high energy astrophysics,  dark energy, pulsar timing, gravitational radiation, Fast Radio Bursts, Magnetars Digital correlator, low noise amplifier, radio telescope",2023,12-Jun-23,$2041380
43553,"Applied Microbial Systems Ecology: an integrated approach to stable bioprocesses","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Alyse Hawley","Alyse Hawley","British Columbia",Vancouver,University,"The University of British Columbia",,"Microbial ecology and evolution","microbial ecology, environmental systems, bioprocess, biogeochemistry, wetlands, microplastics, green house gases microsensors, gas analyzer, nanophotometer, qPCR, ultralow temp freezer",2023,21-Mar-23,$125000
43424,"BioSEED-Biopolymer Synthesis, Engineering, Extraction, and Design","Innovation Fund","Innovation Fund 2023","Orlando Rojas, Anne Lacey Samuels","Emily Cranston, Johan Foster, Feng Jiang, Mark MacLachlan, Shawn Mansfield, Scott Renneckar, Orlando Rojas, Anne Lacey Samuels","British Columbia",Vancouver,University,"The University of British Columbia",,"Bioprocessing, bioproduction and bioproducts","Renewable bioproducts, circular economy, nanocellulose, lignin, cellulose, plant biomass Electron, Multi-photon, and spinning disc microscopy; x-ray scattering.",2023,12-Jun-23,$3799436
44261,"Building a Decentralized Future with Foundation Models:  Continual Learning and Monitoring at the Edge","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Xiaoxiao Li","Xiaoxiao Li, Renjie Liao, Christos Thrampoulidis","British Columbia",Vancouver,University,"The University of British Columbia",,"Artificial life","We develop a novel and safe-aware real-time distributed learning and monitoring system with continual learning techniques on the foundation models. A distributed learning system with a GPU server and 16 workstations.",2023,12-Jun-23,$375000
44205,"Coastal Wetland Ecology and Restoration","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Alexandria Moore","Alexandria Moore","British Columbia",Vancouver,University,"The University of British Columbia",,"Community ecology (except invasive species ecology)","Coastal wetland ecology, Plant-animal interactions, Plant-soil interactions, Ecosystem functions, Habitat restoration Field and mesocosm equipment, Lab equipment, Data management, Field vehicle",2023,12-Jun-23,$144579
44220,"Development of the spinal cord injury connectomics laboratory","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Brett Hilton","Brett Hilton","British Columbia",Vancouver,University,"The University of British Columbia",,"Neurological disorders (except neuromuscular diseases)","neuroplasticity, regeneration, connectomics, spinal cord injury, immunofluorescence imaging, image analysis, viral vectors, chemogenetics Zeiss Axioscan 7, Imaris 9.9",2023,12-Jun-23,$150000
